"","regen_pipo","YEAR.DIFF","BALive_pipo","BALiveTot","CMD_1995","MAP_1995","FIRE.SEV"
"362",0,27,21.26,21.26,537.88,360.03,1
"363",0,6,32.99,32.99,522.5,362.71,3
"364",1,3,24.93,29.72,539.33,355.66,1
"365",0,1,12.95,12.95,555.71,381.69,3
"366",0,10,0,0,579.07,340.92,3
"367",0,7,0,0,521.03,319.54,3
"368",1,7,7.18,7.18,492.98,324.92,2
"369",0,6,0,0,452.26,488.32,2
"370",0,29,105.96,105.96,501.74,366.05,2
"371",0,1,0,0,548.57,351.16,4
"372",0,2,0,0,590.03,335.31,3
"373",0,1,0,0,580.13,357.29,4
"374",0,1,25.35,25.35,567.11,345.42,2
"375",1,25,12.38,12.38,582.13,369.58,3
"376",1,6,0,0,330.15,551.91,3
"377",0,3,79.06,84.76,566.16,546.08,NA
"378",0,6,7.18,7.18,597.73,564.58,1
"379",0,1,120.93,171.91,523.88,703.72,1
"380",0,8,31.21,81.27,687.59,481.95,1
"381",0,11,74.51,74.51,789.3,462.23,3
"382",0,1,34.25,155.18,705.91,495.39,1
"383",0,8,23.04,143.74,545.65,600.48,2
"384",0,3,8.82,70.82,809.16,489.88,2
"385",0,1,0,1.38,712.11,574.88,3
"386",0,11,25.11,25.11,863.8,304.41,3
"387",0,12,0,0,440.49,536.81,NA
"388",1,18,2.96,37.46,451.06,658.86,3
"389",0,4,19.61,89.36,626.87,578.13,1
"390",0,1,32.25,122.4,749.05,560.67,2
"391",1,2,85.51,85.51,658.85,558.13,2
"392",0,8,42.57,72.55,624.08,533.49,2
"393",0,1,0,0,372.35,705.55,NA
"394",0,2,0,0,313.57,654.44,3
"395",0,1,0,0,444.67,555.24,NA
"396",0,7,0,0,667.21,454.21,2
"397",0,2,40.06,40.06,391.95,600.53,NA
"398",0,9,61.53,61.53,512.51,591.23,2
"399",1,3,51.25,126.69,539.62,618.24,2
"400",1,9,35.37,35.37,626.65,574.03,1
"401",0,19,18.12,40.62,730.99,425.05,2
"402",0,15,31.15,31.15,410.18,460.61,3
"403",0,1,70.82,70.82,408.35,443.17,NA
"404",0,11,22.95,22.95,415.17,429.28,2
"405",0,17,6.08,36.98,619.47,339.17,1
"406",1,9,8.33,8.33,546.5,372.31,2
"407",0,1,6.52,6.52,551.9,364.83,2
"408",0,6,0,0,553.79,348.34,2
"409",0,7,16.43,17.32,538.35,345.63,1
"410",0,7,0,0,608.59,344.84,2
"411",0,10,13.06,13.06,410.96,477.42,3
"412",0,5,6.99,6.99,498.61,401.88,3
"413",0,1,3.03,35.95,612,373.66,2
"414",1,2,0,0,530.99,394.44,1
"415",0,1,0,0,438.51,443.55,3
"416",0,11,0,0,563.73,449.71,2
"417",0,9,6.8,6.8,409.55,548.01,2
"418",0,29,0,0,511.89,398.13,4
"419",0,2,0,0,407.21,499.15,3
"420",0,12,5.14,5.14,461.98,453.33,3
"421",0,6,25.22,53.18,508.85,525.87,3
"422",0,13,0,4.1,442.39,461.84,4
"423",0,2,41.91,54.94,607.42,463.21,2
"424",0,5,0,0,606.01,397.91,3
"425",0,19,1.1,1.1,405.22,835.28,3
"426",0,19,34.49,141.12,433.52,817.05,1
"427",1,19,44.8,75.86,456.36,802.39,1
"428",1,19,0.81,8.42,486.45,774.12,3
"429",0,4,95.82,110.73,393.77,596.09,1
"430",0,3,0,0,383.24,598.01,NA
"431",0,4,32.59,120.12,639.48,442.32,2
"432",0,13,18.96,18.96,755.68,439.57,1
"433",0,19,30.19,67.08,476.6,658.89,1
"434",1,9,51.61,52.6,726.02,469.49,2
"435",0,9,20.52,20.52,606.72,514,2
"436",0,9,28.16,49.17,702.78,509.25,2
"437",0,11,2.9,26.55,691.54,544.78,2
"438",0,8,97.1,97.1,450.09,760.38,1
"439",0,2,51.67,64.39,397.94,833.59,3
"440",0,3,30.36,144.87,388.17,681.93,2
"441",0,3,16.6,16.6,618.9,561.39,2
"442",0,11,21.69,21.69,741.72,498.16,1
"443",0,12,13.52,40.17,669.55,457.01,3
"444",1,8,87.9,87.9,476.14,587.73,2
"445",0,5,29.74,37.23,674.94,532.65,2
"446",0,14,1.18,1.87,544.43,626.3,3
"447",0,18,33.02,93.24,785.62,387.8,1
"448",0,7,166.6,175.43,603.7,590.59,2
"449",0,12,0,13.23,652.97,714.04,4
"450",0,12,94.7,94.7,724.79,495.56,2
"451",1,18,159.32,163.24,556.77,677.35,2
"452",0,3,109.35,123.25,439.99,717.44,2
"453",0,3,3.36,68.15,633.67,627.6,NA
"454",0,3,48.75,143.52,533.82,573.7,2
"455",0,3,0,0,491.79,664.43,3
"456",0,3,0,0,445.38,719.72,NA
"457",0,3,27.24,27.24,461.36,744.41,3
"458",0,2,6.9,81.23,946.93,446.55,2
"459",0,2,35.87,107.96,617.07,538.42,NA
"460",1,2,77.48,80.15,720.04,528.16,2
"461",0,2,8.62,8.62,764.69,495.25,2
"462",0,2,14.09,150.09,721.53,521.58,2
"463",0,2,0,0,345.3,626.31,NA
"464",0,2,0,0,490.08,532.08,NA
"465",0,2,0,1.3,752.15,418.95,NA
"466",0,2,13.14,13.14,328.01,663.99,3
"467",0,12,0,0,425.9,539.61,3
"468",1,12,22.07,22.07,441.11,500.88,4
"469",0,2,6.55,15.6,397.53,516.88,2
"470",0,14,72.46,95.72,378.37,645.69,1
"471",1,13,5.8,9.28,458.26,468.63,4
"472",0,13,0,0,438,510.23,4
"473",0,4,0,0,548.47,326.57,2
"474",0,7,72.96,75.74,355.45,518.89,1
"475",0,30,32.42,33.45,409.49,649.85,2
"476",0,11,0,148.91,338.93,669.64,2
"477",1,30,19.53,28.03,471.67,341.89,3
"478",1,8,0,0,294.3,546.38,3
"479",0,2,42.37,42.37,536.73,361.5,2
"480",1,26,0,0,465.39,377.98,2
"481",0,4,10.19,21.14,611.9,322.3,1
